product_id,product_name,barcode,brand,image,description,url
20,"
	Mè Đen Hạt Dưa 150G – Bánh dành cho người ăn kiêng, ăn chay",XMD,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811123311-picture-price-3.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 150 gram Thành phần: Nhân Hỗn Hợp bánh Xanh. Bánh Xanh Đêm trăng đoàn tụ quây quần ~ Cả nhà thắp sáng một tòa yêu thương",https://banhkinhdo.com.vn/san-pham/me-den-hat-dua/
21,"
	Hạt Sen Hạt Chia 150G – Bánh dành cho người ăn kiêng, ăn chay",XHS,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811123258-picture-price-3.png,"Bánh trung thu chay Hạt sen Hạt chia : Với các thành phần dành cho người ăn chay. Thương hiệu: Kinh Đô Loại bánh: Bánh nướng Hình thức: 01 Bánh, hộp kiếng chống ẩm Khối lượng: 150 gram Thành phần: Nhân hỗn hợp hạt sen, hạt chia Bánh Xanh Đêm trăng đoàn tụ quây quần ~ Cả nhà thắp sáng một tòa yêu thương",https://banhkinhdo.com.vn/san-pham/hat-sen-hat-chia-_150g-2024/
22,"
	COSY MARIE – BÁNH QUY SỮA 192G (HỘP GIẤY) TẾT 2024",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/z4919334737264_ecda1ad7d4d0a8e7b4aedf049600397f.jpg,Tên sản phẩm: Cosy marie bánh quy sữa Hộp giấy 192g X 16 hộp/thùng,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-hop-giay/
23,"
	COSY BÁNH QUY BƠ THẬP CẨM SOCOLA (HỘP THIẾC) 546G TẾT 2024",4252743,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/banh-cosy-quy-bo-thap-cam-socola-hop-thiec.jpg,"Tên sản phẩm Trọng lượng Giá Quy cách Cosy bánh quy bơ thập cẩm socola (hộp thiếc 546g) 546g 155,000/hộp 6 hộp/thùng",https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-hop-thiec/
24,"
	COSY BÁNH QUY BƠ THẬP CẨM RẮC HẠT (HỘP GIẤY) TẾT 2024",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/banh-quy-bo-cosy-thap-cam-rac-hat-hop-giay.jpg,Tên sản phẩm:  Cosy bánh quy bơ thập cẩm rắc hạt Hộp giấy 330g x 12 hộp/thùng,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-rac-hat-hop-giay/
25,"
	COSY BÁNH XỐP 2 TRONG 1 (gói 148g) TẾT 2024",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2023/11/banh-cosy-xop-2-trong-1-ci-dau-bac-ha.jpg,"Tên sản phẩm Trọng lượng Giá Quy cách Cosy bánh xốp 2 trong 1 (Kem vị dâu the lạnh / Kem vị dừa lá dứa) 148g 16,500/gói 24 gói/thùng",https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-rac-hat-hop-thiec/
26,"
	BÁNH QUẾ COSY GÓI 117G",4278067,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/vn-11134207-7r98o-llu3r1lgug9re7.jpg,Tên sản phẩm: Bánh quế Cosy Vị Socola / Vị Xoài xí muội / Vị Dâu/ Vị Dứa Trọng lượng: 117g Quy cách: 24 gói/thùng,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-socola/
27,"
	COSY MARIE – BÁNH QUY SỮA ( HỘP GIẤY ) 528G TẾT 2024",COSYS65,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/z4800330152117_6d16888018c90beedb27df6f2f32f1a6.jpg,Tên sản phẩm: Cosy Marie Bánh quy sữa ( Hộp giấy) Trọng lượng: 528g Quy cách: 8 hộp/thùng,https://banhkinhdo.com.vn/san-pham/cosy-wonderful-banh-quy-hat-socola-yen-mach-hop-thiec/
28,"
	COSY BÁNH QUY BƠ THẬP CẨM SOCOLA (HỘP THIẾC) 378G TẾT 2024",4252773,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2021/01/banh-cosy-quy-bo-thap-cam-socola-hop-thiec.jpg,Tên sản phẩm: Cosy bánh quy bơ Socola Hộp thiếc 378g – 8 hộp/thùng,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-socola-hop-thiec/
29,"
	BÁNH QUY COSY BƠ THẬP CẨM (HỘP THIẾC 600G) TẾT 2024",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/banh-quy-bo-cosy-thap-cam-hop-thiec.jpg,Tên sản phẩm: Bánh quy cosy bơ thập cẩm 600g (hộp thiếc) Hộp thiếc 600g – 6 hộp/thùng,https://banhkinhdo.com.vn/san-pham/banh-que-socola-hop-thiec/
30,"
	COSY MARIE – BÁNH QUY SỮA 336G TẾT 2024",,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/2ea3268f958a184af23fc4133b38bb36.png,Tên sản phẩm: Bánh quy sữa cosy marie Hộp giấy: 336g – 10 hộp/thùng,https://banhkinhdo.com.vn/san-pham/banh-que-thap-cam-hop-giay/
31,"
	COSY BÁNH QUY BƠ THẬP CẨM SOCOLA ( HỘP GIẤY ) 330G TẾT 2024",4264345,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2021/01/z4800330188319_9cb6699169792f9d6f56171608422716.jpg,Tên sản phẩm: Cosy Bánh quy bơ thập cẩm socola ( Hộp giấy) Trọng lượng: 330g Quy cách: 12 hộp/thùng,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-rac-hat-hop-thiec-546g-tet-2021/
32,"
	COSY BÁNH QUY HẠT – SOCOLA YẾN MẠCH 196G (TẾT 2024)",4264347,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2023/11/banh-quy-cosy-hat-socola-yen-mach-510x510-1.jpg,Tên sản phẩm: Cosy Bánh quy hạt socola yến mạch ( Hộp giấy) Trọng lượng: 196g Quy cách: 10 hộp/thùng,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-hop-thiec-546g-tet-2021/
33,"
	COSY BÁNH QUY BƠ THẬP CẨM  BƠ SỮA (HỘP THIẾC) 378G TẾT 2025",4252774,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2023/11/COSY-VANG.jpg,"Tên sản phẩm Trọng lượng Giá Quy cách Cosy bánh quy bơ thập cẩm  socola (hộp thiếc) 378g 115,000/hộp 8 hộp/thùng",https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-socola-hop-thiec/
34,"
	COSY BÁNH QUY HẠT – BƠ &amp; HẠT ĐIỀU 224G (TẾT 2024)",4303499,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/12/banh-quy-hat-bo-va-hat-dieu-cosy.jpg,Tên sản phẩm: Cosy Bánh quy bơ và hạ điều ( Hộp giấy) Trọng lượng: 224g Quy cách: 14 hộp/thùng,https://banhkinhdo.com.vn/san-pham/banh-quy-sua-cosy-marie-hop-giay/
